ID,頭文字,品目名,読み,類似語,出し方（一覧）,出し方（詳細）,出し方のポイント,URL1
3,あ,アームスタンド,あーむすたんど,モニタースタンド,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。,
4,あ,アームバンド,あーむばんど,,普通ごみ,,,
2,あ,IH調理器,あいえいちりょうりき,電磁調理器 IHクッキングヒーター 電気調理器 ハロゲンプレート 電磁調理台 ih調理機 インダクションレンジ 卓上IH ハロゲンコンロ,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。/長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
1,あ,ICレコーダー,あいしーれこーだー,ボイスレコーダー 録音機,小物金属,,長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
5,あ,アイシャドウチップ,あいしゃどうちっぷ,化粧チップ,普通ごみ,,,
6,あ,アイスクラッシャー,あいすくらっしゃー,,普通ごみ,小物金属,金属製のものは小物金属として出してください。,
7,あ,アイスクリームのふた(プラスチック製),あいすくりーむのふた（ぷらすちっくせい）,アイスのふた アイスのフタ アイスの内ぶた,プラスチック製容器包装,普通ごみ,識別表示を確認して出してください。/汚れのひどいものは普通ごみとして出してください。,
8,あ,アイスクリームのふた(紙製),あいすくりーむのふた（かみせい）,アイスのふた アイスのフタ アイスの内ぶた,ミックスペーパー,普通ごみ,汚れがひどいものは普通ごみとして出してください。,
9,あ,アイスクリームの容器・包装(プラスチック製),あいすくりーむのようきほうそうぷらすちっくせい,アイスクリームのカップ アイスの容器 アイス容器 アイスのカップ アイスカップ アイスクリーム容器 アイスクリームカップ Coolish クーリッシュ カップアイス カップアイスクリーム アイスの包紙 アイスの外装 アイスキャンデー外装 アイス外装 チューペット,プラスチック製容器包装,普通ごみ,識別表示を確認して出してください。/汚れのひどいものは普通ごみとして出してください。,
10,あ,アイスクリームの容器・包装(紙製),あいすくりーむのようきほうそうかみせい,アイスクリームのカップ アイスの容器 アイス容器 アイスのカップ アイスカップ アイスクリーム容器 アイスクリームカップ アイスクリームの紙カップ カップアイス カップアイスクリーム アイスの外装 アイスキャンデー外装 アイス外装,ミックスペーパー,普通ごみ,汚れがひどいものは普通ごみとして出してください。,
11,あ,アイスクリームメーカー,あいすくりーむめーかー（きんぞくせい）,アイスクリーム製造機 アイスクリーマー アイスクリーム機 アイスメーカー,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
